Variant,F1,AUC,Recall,FPR,n_features,DP_Protected,Epsilon,Dataset,Notes
Legacy-Only,0.8438,0.9562,0.8838,0.0059,19,Yes,1.2830,CERT r4.2,"Behavioral features only — usb_count/rm_copies/rm_ratio EXCLUDED for fair baseline"
+PBI,0.8413,0.9559,0.8828,0.0060,21,Yes,1.2830,CERT r4.2,"Legacy + pbi_drift + pbi_alert; PBI adds drift detection signal"
+PBI+AIF,0.8157,0.9571,0.8300,0.0057,23,Yes,1.2830,CERT r4.2,"Legacy + PBI + aif_score + aif_alert"
Full SENTINEL-EGO,0.8470,0.9655,0.8665,0.0050,27,Yes,1.2830,CERT r4.2,"Full system with archetype-stratified FL; AUC +0.0093 over Legacy-Only"
