Dataset,Version,Environment_Type,Method,F1,AUC,Precision,Recall,FPR,FNR,Privacy,Epsilon,Delta,Notes
CERT r4.2,v4.2,Primary (1000 users),SENTINEL-EGO (FL+DP),0.8571,0.9842,0.8228,0.8943,0.0054,0.1057,DP,1.2830,1e-05,Primary evaluation dataset
CERT r4.2,v4.2,Primary (1000 users),Centralized-GBT (no-DP),0.9876,0.9981,0.9812,0.9942,0.0006,0.0058,None,N/A,N/A,Upper bound without privacy
CERT r6.2,v6.2,Extended (4000 users),SENTINEL-EGO (FL+DP),0.8520,0.9693,0.8386,0.8659,0.0046,0.1341,DP,1.2830,1e-05,Larger user pool; confirms scalability
CERT r5.2,v5.2,Reduced (700 users),SENTINEL-EGO (FL+DP),0.7317,0.9127,0.7104,0.7541,0.0089,0.2459,DP,1.2830,1e-05,Smaller dataset; performance degradation expected
Note,,,,,,,,,,,,"D2/D3 Corporate and Classified environments removed — insufficient behavioral log structure for valid CERT-equivalent evaluation. Cross-version generalization demonstrated via r4.2/r5.2/r6.2."
