Sigma,Epsilon,Delta,F1,AUC,Precision,Recall,FPR,FNR,MIA_AUC,Dataset,Notes
0.5,4.9200,1e-05,0.8814,0.9901,0.8613,0.9027,0.0039,0.0973,0.5421,CERT r4.2,High privacy cost; weakest DP guarantee
1.0,1.9100,1e-05,0.8712,0.9872,0.8502,0.8934,0.0044,0.1066,0.5283,CERT r4.2,Strong utility-privacy balance
1.28,1.2830,1e-05,0.8571,0.9842,0.8228,0.8943,0.0054,0.1057,0.5171,CERT r4.2,Selected operating point
2.0,0.7800,1e-05,0.8341,0.9788,0.8091,0.8607,0.0068,0.1393,0.5092,CERT r4.2,Tighter DP; F1 drops 2.3pp
4.0,0.3900,1e-05,0.7823,0.9612,0.7614,0.8044,0.0093,0.1956,0.5043,CERT r4.2,Aggressive DP; meaningful F1 drop
8.0,0.1950,1e-05,0.6941,0.9201,0.6782,0.7109,0.0143,0.2891,0.5011,CERT r4.2,Near-pure noise; privacy near-perfect
